#{"t_start": 1784477804.0824566, "env_id": "None"}
r,l,t
-6.0,60,113.020169
-6.9,60,113.210702
-6.0,60,113.395733
-6.0,60,113.89032
-6.9,60,114.083354
-6.0,60,114.270886
-6.0,60,114.445916
-6.0,60,114.624448
-6.0,60,115.10353
-6.0,60,115.27606
7.3,28,115.355573
-8.7,60,115.525603
8.4,17,115.580113
-6.0,60,116.047194
-6.0,60,116.215723
-6.0,60,116.387753
4.7,45,116.521276
-6.9,60,116.687304
-6.0,60,117.152385
-6.0,60,117.34642
-6.0,60,117.538453
-6.0,60,117.707482
-6.0,60,118.194067
-6.0,60,118.370597
-6.0,60,118.56213
-6.0,60,118.731159
-6.0,60,119.208743
-6.0,60,119.390274
-6.0,60,119.568305
4.9,52,119.718331
-6.0,60,119.890861
-6.0,60,120.365944
-6.0,60,120.567978
-6.0,60,120.736508
-7.8,60,120.915539
9.1,10,120.945544
-6.0,60,121.416626
-6.0,60,121.589656
7.2,29,121.683672
-6.9,60,121.868203
-6.0,60,122.040234
-6.0,60,122.517317
-6.0,60,122.688346
-7.8,60,122.862876
-6.0,60,123.035907
-6.0,60,123.504488
-6.0,60,123.683519
-6.0,60,123.851048
-6.0,60,124.023078
8.0,21,124.083089
-6.0,60,124.55267
-6.0,60,124.721699
-6.0,60,124.892729
-6.0,60,125.067759
-7.8,60,125.577848
-6.9,60,125.779383
-6.9,60,125.956413
-6.9,60,126.16345
-6.0,60,126.652534
9.6,5,126.671037
-6.9,60,126.878073
-6.0,60,127.072607
9.0,11,127.108114
-6.0,60,127.291645
-6.0,60,127.793732
-6.9,60,127.984265
-6.9,60,128.178799
-6.0,60,128.360331
-6.0,60,128.543362
-6.0,60,129.082456
-6.0,60,129.265488
-6.0,60,129.456021
-6.0,60,129.640053
-6.0,60,130.134639
-6.0,60,130.326172
-6.0,60,130.513205
-6.0,60,130.696237
-6.0,60,131.194324
-6.0,60,131.385855
-7.8,60,131.568888
-6.0,60,131.744418
-6.0,60,132.259507
8.6,15,132.304516
-6.0,60,132.479545
-6.0,60,132.658076
6.6,17,132.707085
-6.0,60,132.890618
-6.9,60,133.384704
-6.0,60,133.566735
-6.0,60,133.756268
-6.0,60,133.938799
-7.8,60,134.432384
8.1,11,134.470391
-6.9,60,134.646421
-7.8,60,134.826453
-6.0,60,135.001983
-8.7,60,135.480567
-11.4,60,135.659097
-6.9,60,135.829627
-6.0,60,136.006658
-6.0,60,136.176688
-6.0,60,136.65327
-6.9,60,136.8238
-6.9,60,137.010332
-6.0,60,137.192363
-7.8,60,137.726457
-6.0,60,137.906488
-6.0,60,138.081017
-6.0,60,138.260549
-6.0,60,138.749134
-6.0,60,138.927664
-6.9,60,139.111197
-6.0,60,139.283727
-6.0,60,139.754309
-6.0,60,139.938341
-6.0,60,140.129374
9.9,2,140.136875
-6.0,60,140.317406
-6.0,60,140.492436
-6.0,60,140.963518
-6.0,60,141.135548
-6.0,60,141.31858
-6.0,60,141.501612
-6.9,60,141.969692
-6.0,60,142.140722
-6.0,60,142.316253
-6.0,60,142.495785
-6.0,60,142.971867
-6.0,60,143.142396
-6.0,60,143.313426
-6.0,60,143.488956
-6.0,60,143.660486
-6.9,60,144.125067
-6.0,60,144.295096
-6.0,60,144.465126
-6.0,60,144.637656
9.1,10,144.669162
-6.0,60,145.149244
-6.0,60,145.318774
-6.0,60,145.492804
-6.0,60,145.704841
-6.0,60,146.210429
-6.9,60,146.411963
-6.0,60,146.601997
-6.0,60,146.799531
-6.0,60,147.299618
-6.0,60,147.503653
-8.7,60,147.702188
-6.0,60,147.88722
-6.9,60,148.370804
-6.0,60,148.571338
-6.0,60,148.780044
-6.0,60,148.953573
-6.0,60,149.153108
-6.0,60,149.653195
8.2,19,149.719706
7.0,31,149.815724
-6.0,60,150.034261
-6.0,60,150.241297
-6.0,60,150.739883
-6.0,60,150.935418
-6.0,60,151.129451
-6.0,60,151.311983
-6.9,60,151.803069
-6.0,60,151.9831
-6.0,60,152.168631
-6.0,60,152.354664
-6.0,60,152.548198
-6.0,60,153.045784
-6.9,60,153.226815
-6.9,60,153.416349
10.0,1,153.42135
-6.9,60,153.604881
-6.0,60,154.098466
-6.0,60,154.292
-6.0,60,154.482533
-6.0,60,154.708072
-6.0,60,155.234163
-6.0,60,155.435198
-6.0,60,155.630233
-6.0,60,155.827266
-6.0,60,156.308849
-6.0,60,156.500383
-6.0,60,156.684416
-6.0,60,156.862447
-6.0,60,157.040977
-6.0,60,157.516559
-6.0,60,157.699591
-6.0,60,157.877623
-6.0,60,158.054654
-6.0,60,158.536737
-6.9,60,158.714267
-6.0,60,158.895299
-6.0,60,159.071829
-6.0,60,159.549912
-6.0,60,159.724442
-6.0,60,159.901973
10.0,1,159.906974
-6.0,60,160.085506
-6.0,60,160.554587
-6.0,60,160.743619
-6.0,60,160.91565
-6.0,60,161.094681
-6.0,60,161.268211
-6.0,60,161.744293
10.0,1,161.749294
-6.0,60,161.917824
-6.0,60,162.096855
-6.0,60,162.266384
-6.0,60,162.75847
-6.0,60,162.938501
-6.0,60,163.140536
-6.0,60,163.33707
10.0,1,163.342571
-6.0,60,163.814652
-6.0,60,163.998184
-6.0,60,164.178216
-6.0,60,164.360248
-6.0,60,164.538779
-6.0,60,165.018862
-6.0,60,165.195393
-7.8,60,165.368923
-6.0,60,165.546954
-6.0,60,166.052541
-6.0,60,166.257076
-6.0,60,166.453111
-6.0,60,166.636143
-6.0,60,167.13823
-6.0,60,167.342766
-6.0,60,167.532797
-6.0,60,167.71833
-6.0,60,168.220417
-6.0,60,168.427953
-6.0,60,168.63949
4.3,58,168.816021
-6.0,60,169.026057
-6.0,60,169.536646
-6.0,60,169.73068
-6.0,60,169.921212
-6.0,60,170.112246
-6.0,60,170.605332
-6.0,60,170.782863
-6.0,60,170.970395
-6.0,60,171.148425
-6.0,60,171.641511
-6.0,60,171.848047
9.6,5,171.864049
-6.0,60,172.049582
-6.0,60,172.240615
-6.0,60,172.7317
10.0,1,172.737201
-6.0,60,172.916733
-6.0,60,173.113266
-6.0,60,173.3028
-6.0,60,173.494333
-6.0,60,173.973416
-6.0,60,174.159949
-6.0,60,174.340979
-6.0,60,174.533013
-6.0,60,175.023599
-6.0,60,175.20963
-6.0,60,175.396662
-7.8,60,175.584695
-6.0,60,176.076781
-6.0,60,176.258312
-6.0,60,176.439843
-6.9,60,176.613875
9.5,6,176.632378
-6.0,60,177.098458
-6.0,60,177.274488
-6.0,60,177.454019
-6.9,60,177.626549
-6.0,60,177.80208
-6.0,60,178.280663
-6.0,60,178.449692
8.7,14,178.4957
-7.8,60,178.673232
-6.0,60,178.843261
-6.0,60,179.327845
-6.0,60,179.499874
-6.9,60,179.675406
-6.0,60,179.855437
-6.0,60,180.367025
-6.0,60,180.572061
-6.0,60,180.755094
-6.0,60,180.932623
7.3,28,181.013138
-6.0,60,181.507223
-6.0,60,181.688755
-6.0,60,181.861285
-6.9,60,182.036815
-6.0,60,182.508398
-6.0,60,182.682428
-6.0,60,182.858457
-6.0,60,183.030987
-6.0,60,183.512571
-6.0,60,183.683602
-6.0,60,183.856132
9.8,3,183.866632
-6.0,60,184.045664
-6.0,60,184.517246
-6.0,60,184.693777
-6.0,60,184.862306
-6.0,60,185.039836
-6.0,60,185.212867
-6.0,60,185.683449
-6.0,60,185.854978
-6.0,60,186.03601
-6.0,60,186.213541
-6.0,60,186.711126
-6.0,60,186.916662
-6.0,60,187.120697
-6.0,60,187.316231
-6.0,60,187.82332
-6.0,60,188.004851
-6.0,60,188.202885
-6.0,60,188.391919
-6.0,60,188.927511
-6.0,60,189.122545
-6.0,60,189.336082
-6.0,60,189.527114
-6.0,60,189.723649
-6.0,60,190.226736
-6.0,60,190.41977
-6.0,60,190.625806
-6.0,60,190.817839
-6.0,60,191.327928
-6.0,60,191.523461
-6.0,60,191.715494
9.0,11,191.748
-6.0,60,191.953536
-6.0,60,192.450123
-6.0,60,192.627154
-6.0,60,192.811186
-6.0,60,192.995717
-6.0,60,193.486802
-6.0,60,193.686337
-6.0,60,193.87387
-6.0,60,194.063403
-6.0,60,194.244934
-6.0,60,194.734019
-6.0,60,194.922051
-6.0,60,195.113085
-6.0,60,195.298617
-6.0,60,195.795203
-6.0,60,195.984736
-6.0,60,196.168768
-6.0,60,196.359301
-6.0,60,196.853888
-6.0,60,197.028917
9.9,2,197.036418
-6.0,60,197.21895
-6.0,60,197.415484
9.0,11,197.44749
-6.0,60,197.919571
-6.0,60,198.097603
-6.0,60,198.268132
-6.0,60,198.446162
-6.0,60,198.919745
-6.0,60,199.120281
-6.9,60,199.289309
-6.0,60,199.471841
-6.0,60,199.654372
-6.0,60,200.130455
-6.0,60,200.306487
-6.0,60,200.475016
-6.0,60,200.652046
-6.0,60,201.130629
-6.0,60,201.31116
-6.0,60,201.487691
-6.0,60,201.66022
-6.0,60,202.128803
-6.0,60,202.314334
-6.9,60,202.486865
-6.0,60,202.662396
-6.0,60,202.832925
-6.0,60,203.306007
-6.0,60,203.477537
-6.0,60,203.652067
-6.0,60,203.826597
-6.0,60,204.30018
-6.0,60,204.474709
-6.0,60,204.64874
-6.0,60,204.82077
-6.0,60,205.291852
-6.0,60,205.464882
-6.0,60,205.671917
-6.0,60,205.848948
-6.0,60,206.32303
-6.0,60,206.49906
-6.0,60,206.681593
-6.0,60,206.873125
-6.0,60,207.066159
-6.0,60,207.578748
-6.0,60,207.775782
10.0,1,207.781783
-6.0,60,207.987319
10.0,1,207.991819
-6.0,60,208.186353
-6.0,60,208.692941
-6.0,60,208.887976
-6.0,60,209.079008
-6.0,60,209.272542
